,Tên,Đánh giá,Vị trí,Chất lượng,Phục vụ,Không gian,Lượt đánh giá,Giá cả,Mở cửa,Vị trí chi tiết,Vị trí khu vực,Ở gần,Chỉ đường,Website,Sức chứa,Giờ nhận khách cuối,Thể loại,Thích hợp,CUISINES,Thời gian chuẩn bị,PURPOSES,Phục vụ các món,Nghỉ lễ,Năm thành lập
10,Lotteria - Ba Tháng Hai,6.2,6.9,6.3,6.0,5.3,44,"30,000đ - 77,000đ",08:00 - 22:00,"572A Đường 3 Tháng 2, P. 14 , Quận 10 , TP. HCM",Ngã Bảy Lý Thái Tổ,Ngã 3 Đường 3 Tháng 2 - Nguyễn Ngọc Lộc,Cách ngã ba Lý Thái Tổ - 3 Tháng 2 khoảng 200m,www.lotteria.vn,100 người lớn,10:30 PM,Nhà hàng,"Buổi sáng, Buổi trưa, Buổi xế, Buổi tối","Món Á, Món Hàn",Khoảng 5 - 10 phút,"Đãi tiệc, Ăn gia đình, Hẹn hò, Họp nhóm, Giao tận nơi, Ngắm cảnh, Nghe nhạc","Thịt Gà, Tôm, Gà rán, Hamburger, Thịt Bò, Hải sản, Nước ngọt, Fastfood - Thức ăn nhanh",Các ngày lễ trong năm,2012
11,Lotteria - Thủ Đức,6.0,7.1,5.9,5.6,5.4,35,"30,000đ - 77,000đ",09:00 - 22:00,"283 Võ Văn Ngân, P. Linh Chiểu , Tp. Thủ Đức , TP. HCM",Chợ Thủ Đức,Nhà thiếu nhi Thủ Đức,Ngay ngã ba Võ Văn Ngân và đường số 6,,50 người lớn,09:30 PM,Nhà hàng,"Buổi sáng, Buổi trưa, Buổi xế, Buổi tối","Món Á, Món Hàn",Khoảng 3 - 5 phút,"Ăn gia đình, Hẹn hò, Họp nhóm, Giao tận nơi, Ăn vặt, Takeaway - Mang về, Ăn Fastfood","Thịt Gà, Gà rán, Hamburger, Ăn vặt - Ăn nhẹ, Fastfood - Thức ăn nhanh",Các ngày lễ trong năm,
12,Lotteria - Pandora City,6.0,6.6,5.9,5.7,5.5,35,"35,000đ - 132,000đ",08:00 - 21:00,"Tầng 4 Pandora City, 1/1 Trường Chinh, P. Tây Thạnh , Quận Tân Phú , TP. HCM",Pandora City,Trung tâm thương mại Pandora,Tầng 4 khu Food Court trung tâm thương mại Pandora,,100 người lớn,08:30 PM,Nhà hàng,"Buổi sáng, Buổi trưa, Buổi xế, Buổi tối","Món Á, Món Hàn",Khoảng 5 - 7 phút,"Ăn gia đình, Hẹn hò, Họp nhóm, Takeaway - Mang về, Dành cho Nam giới, Ăn Fastfood","Thịt Gà, Gà rán, Hamburger, Thịt Bò, Ăn vặt - Ăn nhẹ, Cơm, Thức uống, Nước ngọt, Fastfood - Thức ăn nhanh",Các ngày lễ trong năm,
13,Lotteria - Lottemart Nguyễn Hữu Thọ,6.2,6.7,6.2,6.0,5.9,68,"18,000đ - 310,000đ",07:00 - 23:00,"Tầng Trệt, Tầng Trệt, Lotte Mart Nam Sài Gòn, 469 Nguyễn Hữu Thọ, P. Tân Hưng , Quận 7 , TP. HCM",Lotte Mart,Lotte Mart Nguyễn Hữu Thọ,Tầng trệt Lotte Mart Nguyễn Hữu Thọ,,40 người lớn,,Nhà hàng,"Buổi trưa, Buổi xế, Buổi tối","Món Á, Món Hàn",Khoảng 5 - 15 phút,"Ăn gia đình, Họp nhóm","Thịt Gà, Gà rán, Hamburger, Thịt Bò, Ăn vặt - Ăn nhẹ, Fastfood - Thức ăn nhanh",Các ngày lễ trong năm,
14,Lotteria - Big C Tân Phú,6.8,7.3,6.8,6.5,6.4,13,"3,000đ - 110,000đ",08:30 - 22:00,"212 Thoại Ngọc Hầu, P. Phú Thạnh , Quận Tân Phú , TP. HCM",Phú Thạnh,Ngã ba Nguyễn Sơn - Thoại Ngọc Hầu,Cách ngã ba Nguyễn Sơn - Thoại Ngọc Hầu khoảng 150m (hướng về Hòa Bình),www.lotteria.vn,50 người lớn,09:30 PM,Nhà hàng,"Buổi sáng, Buổi trưa, Buổi xế, Buổi tối","Món Việt, Mỹ, Món Hàn",Khoảng 5 - 10 phút,"Ăn gia đình, Hẹn hò, Họp nhóm, Takeaway - Mang về, Ăn Fastfood","Thịt Gà, Hamburger, Hải sản, Ăn vặt - Ăn nhẹ, Fastfood - Thức ăn nhanh",Các ngày lễ trong năm,
15,Lotteria - Crescent Mall,6.9,7.1,7.0,6.8,6.4,41,"30,000đ - 77,000đ",09:00 - 21:00,"Tầng 5, Tầng 5 Crescent Mall, 101 Tôn Dật Tiên, P. Tân Phú , Quận 7 , TP. HCM",Crescent Mall,Crescent Mall,5FC-01 Cresent Mall,,100 người lớn (Có chỗ cho trẻ em),08:30 PM,Nhà hàng,"Buổi sáng, Buổi trưa, Buổi xế, Buổi tối","Món Á, Món Hàn",Khoảng 3 - 5 phút,"Hẹn hò, Họp nhóm, Ăn vặt, Ăn Fastfood","Thịt Gà, Gà rán, Hamburger, Hải sản, Ăn vặt - Ăn nhẹ, Fastfood - Thức ăn nhanh",Các ngày lễ trong năm,
16,Lotteria - Nguyễn Ánh Thủ,5.6,6.0,5.7,5.7,5.0,37,"40,000đ - 132,000đ",07:00 - 22:00,"159/6 - 160/1 Nguyễn Ảnh Thủ, X. Trung Chánh , Huyện Hóc Môn , TP. HCM",Ngã 4 An Sương,Góc Đồng Tâm - Nguyễn Ảnh Thủ,Cách góc Đồng Tâm - Nguyễn Ảnh Thủ khoảng 30m,,100 người lớn,09:30 PM,Nhà hàng,"Buổi sáng, Buổi trưa, Buổi xế, Buổi tối",Món Việt,Khoảng 3 - 5 phút,"Ăn gia đình, Hẹn hò, Họp nhóm",Fastfood - Thức ăn nhanh,Các ngày lễ trong năm,
17,Lotteria - Phan Xích Long,6.2,7.1,6.2,6.1,5.1,70,"40,000đ - 132,000đ",07:00 - 22:00,"Phan Xích Long, P. 7 , Quận Phú Nhuận , TP. HCM",Miếu Nổi - Phan Xích Long,Góc đường Hoa Hồng - Phan Xích Long,Ngã 4 Nguyễn Công Hoan - Phan Xích Long,,70 người lớn,09:30 PM,Nhà hàng,"Buổi sáng, Buổi trưa, Buổi xế, Buổi tối",Món Việt,Khoảng 3 - 5 phút,"Ăn gia đình, Hẹn hò, Họp nhóm",Fastfood - Thức ăn nhanh,Không nghỉ lễ,
18,Lotteria - Trần Quang Khải,6.0,6.7,6.0,5.9,5.3,40,"10,000đ - 88,000đ",08:30 - 22:00,"2 Nguyễn Hữu Cầu, P. Tân Định , Quận 1 , TP. HCM",Công viên Lê Văn Tám,Ngã 3 Nguyễn Hữu Cầu - Trần Quang Khải,Nằm ngay góc ngã 3 Nguyễn Hữu Cầu - Trần Quang Khải,www.lotteria.vn,50 người lớn,09:30 PM,Nhà hàng,"Buổi sáng, Buổi trưa, Buổi xế, Buổi tối","Món Á, Món Hàn",Khoảng 2 - 5 phút,"Ăn gia đình, Hẹn hò, Họp nhóm, Giao tận nơi","Thịt Gà, Gà rán, Hamburger, Cơm, Fastfood - Thức ăn nhanh",Các ngày lễ trong năm,
19,Lotteria - Mega Market An Phú,5.4,6.2,5.3,5.1,4.9,35,"30,000đ - 88,000đ",09:00 - 21:30,"Mega Market An Phú, 57 Song Hành, P. An Phú , Tp. Thủ Đức , TP. HCM",Thảo Điền,Metro An Phú,Siêu thị Mega market An Phú,www.lotteria.vn,50 người lớn,09:00 PM,Nhà hàng,"Buổi sáng, Buổi trưa, Buổi xế, Buổi tối","Món Á, Món Hàn",Khoảng 2 - 5 phút,"Ăn gia đình, Hẹn hò, Họp nhóm, Giao tận nơi, Ăn Fastfood","Thịt Gà, Gà rán, Hamburger, Cơm, Fastfood - Thức ăn nhanh",Các ngày lễ trong năm,
20,Lotteria - Ga Sài Gòn,6.5,6.9,6.6,6.3,5.9,13,"18,000đ - 310,000đ",07:00 - 23:00,"1 Nguyễn Thông , Quận 3 , TP. HCM",Ga Sài Gòn,Ga Sài Gòn,Ga Sài Gòn,www.lotteria.vn,50 người lớn,09:30 PM,Nhà hàng,"Buổi sáng, Buổi trưa, Buổi xế, Buổi tối","Món Á, Món Hàn",Khoảng 2 - 5 phút,"Ăn gia đình, Hẹn hò, Họp nhóm, Giao tận nơi, Ăn Fastfood","Thịt Gà, Gà rán, Hamburger, Cơm, Fastfood - Thức ăn nhanh",Các ngày lễ trong năm,
21,Lotteria - Nguyễn Tri Phương,5.5,6.0,5.5,5.2,5.1,30,"30,000đ - 88,000đ",08:30 - 22:00,"114 Trần Hưng Đạo , Quận 5 , TP. HCM",Ngã Sáu Nguyễn Tri Phương,Ngã 4 Trần Hưng Đạo - Nguyễn Tri Phương,Nằm ngay góc ngã 4 Trần Hưng Đạo - Nguyễn Tri Phương,www.lotteria.vn,50 người lớn,09:30 PM,Nhà hàng,"Buổi sáng, Buổi trưa, Buổi xế, Buổi tối","Món Á, Món Hàn",Khoảng 2 - 5 phút,"Ăn gia đình, Hẹn hò, Họp nhóm, Giao tận nơi, Ăn Fastfood","Thịt Gà, Gà rán, Hamburger, Cơm, Fastfood - Thức ăn nhanh",Các ngày lễ trong năm,
22,Lotteria - Châu Văn Liêm,6.5,7.1,6.4,6.2,5.9,25,"30,000đ - 88,000đ",08:30 - 22:00,"67 Vạn Kiếp, P. 13 , Quận 5 , TP. HCM",Cầu Chà Và,Vòng xoay Hải Thượng Lãn Ông,Nằm ngay vòng xoay Hải Thượng Lãn Ông,www.lotteria.vn,50 người lớn,09:30 PM,Nhà hàng,"Buổi sáng, Buổi trưa, Buổi xế, Buổi tối","Món Á, Món Hàn",Khoảng 2 - 5 phút,"Ăn gia đình, Hẹn hò, Họp nhóm, Giao tận nơi, Ăn Fastfood","Thịt Gà, Gà rán, Hamburger, Bún, Mì, Ăn vặt - Ăn nhẹ, Cơm, Fastfood - Thức ăn nhanh",Các ngày lễ trong năm,
23,Lotteria - Dương Bá Trạc,5.9,6.4,6.2,5.6,5.0,26,"30,000đ - 88,000đ",07:00 - 19:00,"111 Dương Bá Trạc , Quận 8 , TP. HCM",Xóm Đạo,Cầu Nguyễn Văn Cừ,Cách cầu Nguyễn Văn Cừ khoảng 200m,www.lotteria.vn,50 người lớn,,Nhà hàng,"Buổi sáng, Buổi trưa, Buổi xế, Buổi tối","Món Á, Món Hàn",Khoảng 2 - 5 phút,"Ăn gia đình, Hẹn hò, Họp nhóm, Giao tận nơi, Ăn Fastfood","Thịt Gà, Gà rán, Hamburger, Cơm, Fastfood - Thức ăn nhanh",Các ngày lễ trong năm,
24,Lotteria - Tuy Lý Vương CoopMart,7.0,7.6,7.2,6.5,6.3,10,"18,000đ - 310,000đ",08:00 - 22:00,"40 - 54 Tuy Lý Vương, P. 13 , Quận 8 , TP. HCM",Xóm Củi,Co.op Mart Tuy Lý Vương,Co.op Mart Tuy Lý Vương,www.lotteria.vn,50 người lớn,09:30 PM,Nhà hàng,"Buổi sáng, Buổi trưa, Buổi xế, Buổi tối","Món Á, Món Hàn",Khoảng 2 - 5 phút,"Ăn gia đình, Hẹn hò, Họp nhóm, Giao tận nơi, Ăn Fastfood","Thịt Gà, Gà rán, Hamburger, Cơm, Fastfood - Thức ăn nhanh",Các ngày lễ trong năm,
25,Lotteria - 572A Đường 3 Tháng 2,5.3,5.9,5.4,5.0,4.6,18,"30,000đ - 88,000đ",08:30 - 22:00,"572A 3 Tháng 2 , Quận 10 , TP. HCM",Cư xá Đồng Tiến,Ngã 3 đường 3 Tháng 2 - Nguyễn Ngọc Lộc,Nằm ngay góc ngã 3 đường 3 Tháng 2 - Nguyễn Ngọc Lộc,www.lotteria.vn,50 người lớn,09:30 PM,Nhà hàng,"Buổi sáng, Buổi trưa, Buổi xế, Buổi tối","Món Á, Món Hàn",Khoảng 2 - 5 phút,"Ăn gia đình, Hẹn hò, Họp nhóm, Giao tận nơi, Ăn Fastfood","Thịt Gà, Gà rán, Fastfood - Thức ăn nhanh",Các ngày lễ trong năm,
26,Lotteria - Starmart Quang Trung,6.8,7.3,6.8,6.6,6.3,71,"18,000đ - 310,000đ",07:30 - 23:00,"645 Quang Trung, P. 11 , Quận Gò Vấp , TP. HCM",Hạnh Thông Tây,,,www.lotteria.vn,50 người lớn,09:30 PM,Nhà hàng,"Buổi sáng, Buổi trưa, Buổi xế, Buổi tối","Món Á, Món Hàn",Khoảng 2 - 5 phút,"Ăn gia đình, Hẹn hò, Họp nhóm, Giao tận nơi, Takeaway - Mang về, Ăn Fastfood","Thịt Gà, Gà rán, Hamburger, Cơm, Thức uống, Xúc xích, Fastfood - Thức ăn nhanh",Các ngày lễ trong năm,
27,Lotteria - Nguyễn Văn Nghi,6.1,6.7,6.2,5.7,5.7,73,"30,000đ - 88,000đ",08:30 - 22:00,"33 Nguyễn Văn Nghi, P. 14 , Quận Gò Vấp , TP. HCM",Chợ Gò Vấp,Ngã 3 Nguyễn Văn Nghi - Lê Lợi,Nằm ngay góc ngã 3 Nguyễn Văn Nghi - Lê Lợi,www.lotteria.vn,50 người lớn,09:30 PM,Nhà hàng,"Buổi sáng, Buổi trưa, Buổi xế, Buổi tối","Món Á, Món Hàn",Khoảng 2 - 5 phút,"Ăn gia đình, Hẹn hò, Họp nhóm, Giao tận nơi, Takeaway - Mang về, Ăn Fastfood","Thịt Gà, Gà rán",Các ngày lễ trong năm,
28,Lotteria - Bến Xe Miền Đông,6.3,6.7,6.4,6.2,5.7,15,"30,000đ - 88,000đ",08:30 - 22:00,"292 Đinh Bộ Lĩnh, P. 26 , Quận Bình Thạnh , TP. HCM",Bến Xe Miền Đông,,Bến Xe Miền Đông,www.lotteria.vn,50 người lớn,09:30 PM,Nhà hàng,"Buổi sáng, Buổi trưa, Buổi xế, Buổi tối","Món Á, Món Hàn",Khoảng 2 - 5 phút,"Ăn gia đình, Hẹn hò, Họp nhóm, Giao tận nơi, Takeaway - Mang về, Ăn Fastfood","Thịt Gà, Gà rán, Fastfood - Thức ăn nhanh",Các ngày lễ trong năm,
29,Lotteria - Văn Thánh,5.6,6.5,5.9,5.3,4.0,31,"30,000đ - 88,000đ",08:30 - 22:00,"604 Điện Biên Phủ, P. 22 , Quận Bình Thạnh , TP. HCM",Văn Thánh,Khu du lịch Văn Thánh,Nằm gần đường vào khu du lịch Văn Thánh,www.lotteria.vn,50 người lớn,09:30 PM,Nhà hàng,"Buổi sáng, Buổi trưa, Buổi xế, Buổi tối","Món Á, Món Hàn",Khoảng 2 - 5 phút,"Ăn gia đình, Hẹn hò, Họp nhóm, Giao tận nơi, Takeaway - Mang về, Ăn Fastfood","Thịt Gà, Gà rán, Hamburger, Cơm, Xúc xích, Fastfood - Thức ăn nhanh",Các ngày lễ trong năm,
30,Lotteria - Bạch Đằng,5.3,6.5,5.2,4.8,4.5,45,"30,000đ - 88,000đ",08:30 - 22:00,"445 Bạch Đằng, P. 2 , Quận Bình Thạnh , TP. HCM",Chợ Bà Chiểu,Ngã 4 Bạch Đằng - Phan Chu Trinh,Nằm ngay góc ngã 4 Bạch Đằng - Phan Chu Trinh,www.lotteria.vn,50 người lớn,09:30 PM,Nhà hàng,"Buổi sáng, Buổi trưa, Buổi xế, Buổi tối","Món Á, Món Hàn",Khoảng 2 - 5 phút,"Ăn gia đình, Hẹn hò, Họp nhóm, Giao tận nơi, Takeaway - Mang về, Ăn Fastfood","Thịt Gà, Gà rán, Hamburger, Bún, Mì, Cơm, Fastfood - Thức ăn nhanh",Các ngày lễ trong năm,
31,Lotteria - Thủ Đức CoopMart,6.6,7.0,6.6,6.4,6.3,8,"30,000đ - 88,000đ",08:30 - 22:00,"934 Quốc lộ 1A, KP4, P. Linh Trung , Tp. Thủ Đức , TP. HCM",Ngã 4 Thủ Đức,Co.op Mart Thủ Đức,Co.op Mart Thủ Đức,,50 người lớn,,Quán ăn,"Buổi sáng, Buổi trưa, Buổi xế, Buổi tối","Món Á, Món Hàn",Khoảng 7 - 10 phút,"Ăn gia đình, Hẹn hò, Họp nhóm, Giao tận nơi, Takeaway - Mang về","Thịt Gà, Gà rán, Hamburger, Cơm, Fastfood - Thức ăn nhanh",Các ngày lễ trong năm,
32,Lotteria - Bàu Cát,5.6,6.3,5.7,5.4,4.5,51,"30,000đ - 88,000đ",08:30 - 22:00,"64-66 Bàu Cát, P. 14 , Quận Tân Bình , TP. HCM",,,,www.lotteria.vn,50 người lớn,09:30 PM,Nhà hàng,"Buổi sáng, Buổi trưa, Buổi xế, Buổi tối","Món Á, Món Hàn",Khoảng 2 - 5 phút,"Ăn gia đình, Hẹn hò, Họp nhóm, Giao tận nơi, Takeaway - Mang về, Ăn Fastfood","Thịt Gà, Gà rán, Hamburger, Cơm, Xúc xích, Fastfood - Thức ăn nhanh",Các ngày lễ trong năm,
33,Lotteria - Hoà Bình CoopMart,5.4,5.9,5.8,5.5,4.0,8,"30,000đ - 88,000đ",08:30 - 22:00,"175 Hòa Bình, P. Hiệp Tân , Quận Tân Phú , TP. HCM",Hòa Thạnh,Co.op Mart Hòa Bình,Co.op Mart Hòa Bình,www.lotteria.vn,50 người lớn,09:30 PM,Nhà hàng,"Buổi sáng, Buổi trưa, Buổi xế, Buổi tối","Món Á, Món Hàn",Khoảng 2 - 5 phút,"Ăn gia đình, Hẹn hò, Họp nhóm, Giao tận nơi, Takeaway - Mang về, Ăn Fastfood","Thịt Gà, Gà rán, Hamburger, Xúc xích, Fastfood - Thức ăn nhanh",Các ngày lễ trong năm,
34,Lotteria - Vành Đai Trong,5.7,6.4,6.0,5.6,4.6,19,"30,000đ - 88,000đ",08:30 - 22:00,"309 - 311 Vành Đai Trong, P. Bình Trị Đông , Quận Bình Tân , TP. HCM",Bình Trị Đông,Nhà thờ thánh Phaolo,Đối diện nhà thờ thánh Phaolo,www.lotteria.vn,50 người lớn,09:30 PM,Nhà hàng,"Buổi sáng, Buổi trưa, Buổi xế, Buổi tối","Món Á, Món Hàn",Khoảng 2 - 5 phút,"Ăn gia đình, Hẹn hò, Họp nhóm, Giao tận nơi, Takeaway - Mang về, Ăn Fastfood","Thịt Gà, Gà rán, Hamburger, Cơm, Xúc xích, Fastfood - Thức ăn nhanh",Các ngày lễ trong năm,
35,Lotteria - CoopMart Củ Chi,3.8,4.3,3.9,3.6,3.6,7,"30,000đ - 88,000đ",08:30 - 22:00,"357 Quốc Lộ 22, Ấp Thượng, X. Tân Thông , Huyện Củ Chi , TP. HCM",Co.op Mart Củ Chi,Co.op Mart Củ Chi,Co.op Mart Củ Chi,www.lotteria.vn,50 người lớn,09:30 PM,Nhà hàng,"Buổi sáng, Buổi trưa, Buổi xế, Buổi tối","Món Á, Món Hàn",Khoảng 2 - 5 phút,"Ăn gia đình, Hẹn hò, Họp nhóm, Giao tận nơi","Thịt Gà, Gà rán, Fastfood - Thức ăn nhanh",Các ngày lễ trong năm,
